No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
512,10295,-6088,8516.5,1598.5,46.368,0
513,10896,-5487,9120.5,2202.5,59.6411,0
514,11731,-4652,9957.5,733.5,78.0344,0
515,12440,-3943,10662.5,1438.5,93.527,0
516,12809,-3574,11026.5,1802.5,101.526,0
517,12903,-3480,11117.5,1893.5,103.526,0
518,12977,-3406,11190.5,1966.5,105.13,0
519,13125,-3258,11341.5,2117.5,108.448,0
520,13432,-2951,11652.5,122.5,115.283,0
521,13902,-2481,12119.5,589.5,125.545,0
522,14452,-1931,12673.5,1143.5,137.719,0
523,14953,-1430,13172.5,1642.5,148.685,0
524,15397,-986,13619.5,2089.5,158.508,0
525,15824,-559,14040.5,204.5,167.76,0
526,16203,-180,14422.5,586.5,176.154,0
527,108,108,14706.5,871.5,182.395,0
528,306,306,14904.5,1071.5,186.79,0
529,590,590,15188.5,1353.5,192.987,0
530,778,778,15376.5,1541.5,197.119,0
531,1083,1083,15681.5,1850.5,203.909,0
532,1662,1662,16260.5,125.5,216.677,0
533,2369,2369,583.5,589.5,232.191,0
534,2874,2874,1088.5,1088.5,243.289,0
535,3313,3313,1527.5,1527.5,252.87,0
536,3679,3682,1896.5,1899.5,260.979,0
537,3954,3954,2168.5,2169.5,266.912,0
538,4344,4344,2558.5,260.5,275.637,0
539,4786,4786,3000.5,697.5,285.24,0
540,5005,5005,3219.5,917.5,290.074,0
541,5097,5097,3311.5,1003.5,291.964,0
542,5023,5023,3237.5,928.5,290.316,0
543,4817,4817,3027.5,721.5,285.767,0
544,4498,4498,2710.5,404.5,278.801,0
545,4170,4170,2380.5,74.5,271.549,0
546,4046,4046,2259.5,2259.5,268.89,0
547,4101,4101,2315.5,9.5,270.121,0
548,4129,4129,2343.5,37.5,270.736,0
549,3994,3994,2204.5,2204.5,267.682,0
550,3942,3942,2159.5,2159.5,266.693,0
551,4231,4231,2448.5,142.5,273.044,0
552,4804,4804,3026.5,720.5,285.745,0
553,5496,5496,3719.5,1413.5,300.974,0
554,6133,6133,4352.5,2046.5,314.885,0
555,6566,6566,4782.5,170.5,324.334,0
556,6875,6875,5095.5,483.5,331.212,0
557,7128,7128,5344.5,732.5,336.684,0
558,7308,7308,5524.5,912.5,340.64,0
559,7503,7503,5717.5,1109.5,344.969,0
560,7593,7593,5808.5,1196.5,346.881,0
561,7717,7717,5934.5,1322.5,349.65,0
562,7707,7703,5917.5,1305.5,349.276,0
563,7286,7280,5494.5,882.5,339.849,0
564,6892,6889,5103.5,491.5,331.344,0
565,6854,6854,5068.5,456.5,330.619,0
566,6887,6887,5101.5,491.5,331.388,0
567,6754,6754,4968.5,353.5,328.356,0
568,6576,6576,4790.5,178.5,324.51,0
569,6609,6612,4826.5,214.5,325.301,0
